category,title,time_filter,source_name,source_type,source_link,description,coordinates
Politics,"Kenyan Parliament Erupts in Chaos Over Election Reform Bill",,Reuters,Media,https://www.reuters.com,"Kenya's National Assembly descended into chaos as rival MPs brawled over a controversial bill seeking to overhaul the electoral commission. Security forces intervened to restore order, and the session was suspended indefinitely. Observers fear this could reignite ethnic tensions ahead of the 2027 general elections. US and EU diplomats have urged calm and respect for legal processes. The incident has been independently verified by Reuters and corroborated through satellite imagery, HUMINT, and local reporting. The geo-coordinates of the event are -1.2921, 36.8219. Authorities and analysts warn of further developments and are monitoring the situation closely.","(-1.2921, 36.8219)"
Security,"Armed Group Storms Mali Mining Site, Takes Chinese Workers Hostage",,Interpol Press Release,Verified,https://www.interpol.int,"A suspected jihadist cell affiliated with Jama'at Nasr al-Islam wal Muslimin (JNIM) attacked a gold mining facility operated by Chinese nationals near Gao, Mali. At least six workers were abducted, and explosives were used to destroy vehicles and equipment. French and Malian forces are coordinating a search-and-rescue mission. The incident underscores rising insecurity in Sahelian economic zones. The incident has been independently verified by Interpol Press Release and corroborated through satellite imagery, HUMINT, and local reporting. The geo-coordinates of the event are 16.2667, -0.0422. Authorities and analysts warn of further developments and are monitoring the situation closely.","(16.2667, -0.0422)"
Diplomacy,"Turkey Threatens to Veto Sweden's NATO Bid Over Extradition Dispute",,BBC News,Media,https://www.bbc.com/news,"Ankara has renewed its threat to block Sweden's accession to NATO unless Stockholm extradites multiple individuals allegedly linked to the PKK. The Turkish foreign minister issued the ultimatum during a live press conference, sparking urgent mediation attempts by NATO Secretary General Jens Stoltenberg. Talks are ongoing in Brussels amid rising regional tensions. The incident has been independently verified by BBC News and corroborated through satellite imagery, HUMINT, and local reporting. The geo-coordinates of the event are 41.0082, 28.9784. Authorities and analysts warn of further developments and are monitoring the situation closely.","(41.0082, 28.9784)"
Technology,"China Unveils Hypersonic Drone Capable of Swarm Coordination",,Jane's Defence Weekly,Analysis,https://www.janes.com,"The Chinese Ministry of Defense released footage showcasing the successful test of a new hypersonic drone model equipped with AI-based swarm coordination software. Defense analysts believe the platform is intended for anti-ship roles in the South China Sea. The announcement has drawn swift condemnation from the US Indo-Pacific Command, which called the test 'highly destabilizing'. The incident has been independently verified by Jane's Defence Weekly and corroborated through satellite imagery, HUMINT, and local reporting. The geo-coordinates of the event are 15.2, 117.2. Authorities and analysts warn of further developments and are monitoring the situation closely.","(15.2, 117.2)"
Environment,"Mass Fish Die-Off in Mekong River Triggers Regional Alarm",,OSINT Watch Telegram,OSINT,https://t.me/osintwatch,"Thousands of dead fish have surfaced along a 50km stretch of the Mekong River in Cambodia and Laos. Environmental scientists from ASEAN attribute the event to upstream industrial discharge in China, though Beijing denies responsibility. The ecological crisis is expected to impact local economies reliant on freshwater fisheries. Emergency sampling teams are on-site to collect data. The incident has been independently verified by OSINT Watch Telegram and corroborated through satellite imagery, HUMINT, and local reporting. The geo-coordinates of the event are 13.7563, 100.5018. Authorities and analysts warn of further developments and are monitoring the situation closely.","(13.7563, 100.5018)"
Humanitarian,"Cyclone Tej Devastates Coastal Oman, Emergency Declared in Dhofar",,Defense Blog,OSINT,https://defence-blog.com,"Cyclone Tej made landfall near Salalah, Oman, bringing sustained winds of 140 km/h and torrential rainfall. Authorities declared a state of emergency as floodwaters submerged entire neighborhoods. Initial reports indicate 19 fatalities and hundreds displaced. Humanitarian aid from UAE and Iran is being routed through Muscat under naval escort due to unstable weather patterns. The incident has been independently verified by Defense Blog and corroborated through satellite imagery, HUMINT, and local reporting. The geo-coordinates of the event are 17.0159, 54.0924. Authorities and analysts warn of further developments and are monitoring the situation closely.","(17.0159, 54.0924)"
Conflict,"Sudanese Army Repels RSF Assault Near Port Sudan, Dozens Killed",,The Diplomat,Analysis,https://thediplomat.com,"In a major escalation of the Sudanese civil conflict, RSF paramilitary forces attempted to seize control of Port Sudan but were repelled by entrenched Sudanese Army units. Clashes lasted over nine hours, with at least 37 fighters reported dead. The port remains a critical logistical hub for international humanitarian aid. Drone footage shows extensive damage to surrounding infrastructure, including a customs depot. The incident has been independently verified by The Diplomat and corroborated through satellite imagery, HUMINT, and local reporting. The geo-coordinates of the event are 19.6158, 37.2164. Authorities and analysts warn of further developments and are monitoring the situation closely.","(19.6158, 37.2164)"
Economy,"Venezuelan Oil Output Disrupted After Apparent Sabotage at Maracaibo Refinery",,Stratfor,Analysis,https://worldview.stratfor.com,"Venezuela's state-owned oil company PDVSA reported a critical shutdown of refining operations at the Maracaibo complex following what officials describe as a 'coordinated sabotage effort'. Black smoke was seen rising from the site, and initial assessments estimate losses at $140 million USD. Local authorities have detained five individuals suspected of collusion with foreign actors. The incident has been independently verified by Stratfor and corroborated through satellite imagery, HUMINT, and local reporting. The geo-coordinates of the event are 10.6666, -71.6125. Authorities and analysts warn of further developments and are monitoring the situation closely.","(10.6666, -71.6125)"
Technology,"Major Quantum Computing Breakthrough Achieved in Silicon Valley",,Bloomberg,Media,https://www.bloomberg.com,"A consortium of tech companies led by Google and IBM has announced a breakthrough in quantum computing, achieving quantum supremacy with a 1,000-qubit processor. The development, which occurred at Google's Quantum AI campus, marks a significant milestone in the US-China tech competition. The processor demonstrated the ability to solve complex problems in minutes that would take classical computers years. The incident has been independently verified by Bloomberg and corroborated through technical documentation and industry analysis. The geo-coordinates of the event are 37.4419, -122.1430. Authorities and analysts warn of further developments and are monitoring the situation closely.","(37.4419, -122.1430)"
Security,"Russian Cyber Attack Disrupts Baltic Energy Grid",,NATO Intelligence Brief,Verified,https://www.nato.int,"A sophisticated cyber attack targeting Estonia's power grid has been attributed to Russian state-sponsored actors. The attack, which affected three major substations, caused temporary blackouts affecting 50,000 residents. NATO's cyber defense unit has deployed technical teams to assist in mitigation. The incident has been independently verified by NATO Intelligence Brief and corroborated through digital forensics and network analysis. The geo-coordinates of the event are 59.4369, 24.7536. Authorities and analysts warn of further developments and are monitoring the situation closely.","(59.4369, 24.7536)"
